gas_ppm,temperature,motion,label
430.11,32.16,0,WARNING
751.21,72.65,1,DANGER
181.6,23.99,1,SAFE
248.51,24.86,0,SAFE
302.09,42.76,1,WARNING
239.57,24.26,1,SAFE
433.75,34.61,1,WARNING
472.07,38.79,0,WARNING
105.49,27.58,0,SAFE
192.47,25.58,0,SAFE
185.41,29.47,0,SAFE
402.62,35.47,1,WARNING
111.81,27.36,0,SAFE
530.83,40.15,0,WARNING
336.75,44.76,1,WARNING
114.47,28.66,0,SAFE
68.19,21.24,0,SAFE
231.49,18.31,1,SAFE
526.37,42.19,0,WARNING
155.34,22.83,1,SAFE
327.4,38.16,1,WARNING
675.66,72.04,1,DANGER
200.01,24.01,1,SAFE
599.64,35.5,1,WARNING
882.2,48.32,1,DANGER
317.22,41.8,1,WARNING
244.29,19.06,0,SAFE
344.39,33.58,0,WARNING
429.54,30.98,0,WARNING
460.6,40.66,0,WARNING
252.34,23.51,0,SAFE
586.69,43.36,1,WARNING
635.03,72.5,1,DANGER
174.09,19.5,0,SAFE
362.73,37.3,1,WARNING
67.64,29.03,0,SAFE
480.28,39.4,1,WARNING
114.49,19.59,0,SAFE
666.73,78.28,1,DANGER
374.56,31.59,0,WARNING
924.24,72.42,1,DANGER
535.52,43.05,1,WARNING
542.48,44.04,1,WARNING
157.05,18.23,0,SAFE
150.87,26.03,0,SAFE
502.68,33.09,1,WARNING
233.28,23.24,0,SAFE
250.55,19.15,1,SAFE
634.36,60.97,0,DANGER
438.11,30.33,1,WARNING
299.16,23.57,0,SAFE
811.12,65.61,0,DANGER
978.55,66.15,1,DANGER
386.46,44.37,1,WARNING
127.93,25.22,1,SAFE
864.79,48.61,0,DANGER
162.85,24.22,0,SAFE
572.98,43.14,0,WARNING
389.3,38.91,1,WARNING
286.19,22.19,0,SAFE
356.96,30.4,1,WARNING
195.84,22.61,0,SAFE
605.11,65.48,1,DANGER
382.2,36.83,1,WARNING
911.15,71.54,1,DANGER
106.98,20.1,1,SAFE
284.18,20.08,1,SAFE
275.1,22.78,1,SAFE
416.76,35.06,0,WARNING
266.98,22.72,1,SAFE
407.16,37.88,0,WARNING
125.34,18.42,1,SAFE
69.24,26.85,0,SAFE
590.18,40.98,1,WARNING
292.33,28.47,0,SAFE
261.14,29.49,0,SAFE
876.25,69.05,1,DANGER
98.95,19.58,0,SAFE
881.15,47.79,1,DANGER
153.66,26.02,0,SAFE
284.04,29.51,0,SAFE
158.08,27.36,1,SAFE
402.49,37.39,0,WARNING
222.97,18.74,0,SAFE
922.99,75.95,0,DANGER
553.51,37.59,1,WARNING
205.74,29.41,1,SAFE
360.54,44.25,1,WARNING
528.12,35.91,0,WARNING
159.37,21.1,0,SAFE
540.55,37.4,1,WARNING
335.39,37.48,0,WARNING
425.69,31.15,0,WARNING
163.81,23.37,0,SAFE
445.69,31.49,1,WARNING
224.16,19.3,0,SAFE
265.78,20.78,1,SAFE
66.26,26.59,1,SAFE
207.96,23.38,1,SAFE
546.38,43.73,1,WARNING
526.86,38.17,0,WARNING
89.89,20.74,1,SAFE
366.2,42.87,0,WARNING
136.42,18.55,1,SAFE
687.73,48.14,0,DANGER
117.44,26.75,0,SAFE
167.17,23.05,0,SAFE
292.95,29.12,0,SAFE
499.42,35.64,1,WARNING
168.55,21.35,1,SAFE
271.8,23.14,0,SAFE
218.15,21.56,0,SAFE
521.84,35.31,0,WARNING
810.92,77.26,1,DANGER
92.37,29.71,0,SAFE
165.19,21.8,0,SAFE
271.49,19.06,0,SAFE
276.04,19.98,1,SAFE
517.21,32.8,1,WARNING
877.55,76.54,1,DANGER
168.02,18.8,0,SAFE
856.63,77.91,1,DANGER
149.75,22.73,1,SAFE
390.83,31.18,1,WARNING
508.82,32.19,0,WARNING
112.95,28.1,1,SAFE
142.66,26.49,1,SAFE
208.5,28.68,1,SAFE
61.36,26.74,0,SAFE
217.97,28.29,1,SAFE
792.05,65.94,1,DANGER
286.18,25.03,0,SAFE
226.62,20.28,0,SAFE
93.59,21.66,0,SAFE
107.67,19.71,0,SAFE
817.15,73.57,1,DANGER
805.83,52.56,1,DANGER
524.58,36.34,0,WARNING
655.3,49.96,1,DANGER
378.72,41.48,0,WARNING
390.29,37.39,0,WARNING
498.91,35.5,1,WARNING
408.89,44.63,1,WARNING
146.68,22.84,1,SAFE
104.56,22.29,1,SAFE
98.07,27.57,0,SAFE
399.65,36.28,1,WARNING
944.65,71.92,0,DANGER
860.32,56.67,0,DANGER
766.98,53.43,1,DANGER
180.77,28.1,0,SAFE
514.54,33.5,0,WARNING
150.48,21.59,0,SAFE
557.36,30.84,0,WARNING
188.86,29.66,0,SAFE
281.94,21.81,0,SAFE
149.06,18.56,1,SAFE
769.83,76.61,0,DANGER
252.38,28.92,1,SAFE
212.86,27.14,0,SAFE
208.38,29.03,0,SAFE
306.04,33.58,1,WARNING
138.92,20.42,1,SAFE
292.47,27.98,1,SAFE
87.17,29.3,0,SAFE
287.56,29.77,0,SAFE
577.82,35.67,1,WARNING
201.89,21.74,0,SAFE
628.94,78.93,0,DANGER
173.61,22.27,0,SAFE
154.56,18.75,0,SAFE
811.43,59.08,0,DANGER
740.39,78.73,0,DANGER
179.94,25.86,0,SAFE
418.07,33.38,1,WARNING
575.76,38.02,1,WARNING
794.99,62.17,1,DANGER
150.21,21.98,0,SAFE
684.28,54.5,1,DANGER
861.69,57.58,1,DANGER
176.31,27.13,1,SAFE
75.28,25.24,0,SAFE
259.25,22.42,0,SAFE
253.87,28.35,0,SAFE
427.95,33.16,0,WARNING
972.18,71.96,1,DANGER
102.34,24.06,0,SAFE
226.17,25.01,1,SAFE
599.08,44.32,1,WARNING
376.86,41.67,0,WARNING
288.72,25.73,1,SAFE
53.6,24.99,0,SAFE
92.44,27.25,0,SAFE
71.73,22.02,1,SAFE
507.52,36.16,0,WARNING
391.92,30.96,1,WARNING
440.57,38.59,1,WARNING
217.93,19.38,0,SAFE
956.73,46.81,1,DANGER
566.46,31.4,1,WARNING
583.51,37.93,1,WARNING
76.75,18.7,1,SAFE
266.38,24.15,0,SAFE
553.2,37.55,1,WARNING
336.39,43.39,1,WARNING
516.12,39.59,0,WARNING
498.69,43.16,0,WARNING
94.28,22.97,0,SAFE
573.84,31.36,1,WARNING
885.65,76.29,0,DANGER
384.55,40.46,0,WARNING
58.38,25.29,0,SAFE
143.17,23.93,0,SAFE
565.11,43.64,0,WARNING
72.87,22.32,1,SAFE
270.95,26.98,0,SAFE
680.06,65.68,1,DANGER
377.64,38.68,0,WARNING
102.67,21.39,0,SAFE
383.61,32.3,1,WARNING
251.42,20.71,0,SAFE
829.4,50.91,1,DANGER
158.46,25.36,0,SAFE
93.47,24.13,0,SAFE
924.1,54.59,1,DANGER
57.2,22.94,0,SAFE
216.9,18.3,0,SAFE
651.91,46.66,0,DANGER
274.2,21.45,0,SAFE
503.72,35.86,1,WARNING
287.52,28.52,0,SAFE
137.68,29.46,0,SAFE
609.37,76.22,0,DANGER
107.2,20.8,0,SAFE
458.28,40.76,1,WARNING
766.0,51.95,1,DANGER
89.11,25.5,1,SAFE
914.79,51.01,1,DANGER
53.27,27.01,0,SAFE
952.69,63.58,1,DANGER
194.67,20.88,0,SAFE
860.24,64.3,1,DANGER
483.4,44.72,1,WARNING
540.28,38.94,1,WARNING
254.27,21.66,1,SAFE
90.91,21.6,0,SAFE
286.82,20.35,1,SAFE
453.53,44.19,0,WARNING
156.37,22.29,0,SAFE
478.94,34.02,0,WARNING
303.6,42.38,1,WARNING
204.55,24.73,1,SAFE
137.65,18.62,0,SAFE
417.54,39.38,0,WARNING
300.18,38.7,1,WARNING
243.06,25.04,1,SAFE
447.89,32.2,0,WARNING
152.33,23.81,0,SAFE
327.43,41.05,1,WARNING
72.12,25.33,0,SAFE
535.02,30.77,1,WARNING
184.28,20.09,0,SAFE
565.57,34.85,1,WARNING
274.08,18.31,1,SAFE
277.11,21.32,0,SAFE
117.71,19.18,0,SAFE
973.59,49.04,1,DANGER
333.18,42.29,1,WARNING
135.45,20.61,0,SAFE
94.25,19.9,0,SAFE
240.26,19.34,0,SAFE
481.77,42.63,0,WARNING
316.15,34.11,0,WARNING
82.22,28.56,0,SAFE
582.44,37.89,1,WARNING
431.37,40.27,1,WARNING
362.91,40.4,1,WARNING
149.14,20.46,1,SAFE
269.16,28.2,0,SAFE
52.75,21.63,0,SAFE
974.74,65.64,0,DANGER
56.35,26.08,0,SAFE
890.85,72.59,0,DANGER
557.73,35.4,1,WARNING
845.67,60.72,0,DANGER
723.85,52.97,1,DANGER
565.85,36.17,1,WARNING
251.86,23.58,0,SAFE
702.84,64.31,1,DANGER
78.31,22.14,0,SAFE
502.99,41.39,1,WARNING
390.74,31.71,1,WARNING
290.66,18.25,0,SAFE
563.93,31.02,0,WARNING
173.13,23.11,0,SAFE
255.63,27.32,0,SAFE
99.89,29.92,0,SAFE
131.3,29.29,0,SAFE
90.31,25.81,0,SAFE
592.97,41.49,1,WARNING
129.83,21.67,0,SAFE
212.41,29.8,1,SAFE
385.56,36.82,0,WARNING
250.43,19.94,0,SAFE
246.59,19.48,0,SAFE
247.15,23.22,1,SAFE
117.02,19.69,0,SAFE
281.39,25.4,0,SAFE
70.34,18.92,1,SAFE
204.53,28.32,1,SAFE
275.29,18.97,0,SAFE
950.0,64.03,1,DANGER
94.36,20.96,0,SAFE
689.3,75.34,1,DANGER
136.47,18.12,0,SAFE
273.52,26.97,1,SAFE
156.55,27.28,0,SAFE
59.9,23.52,0,SAFE
543.54,39.45,1,WARNING
567.99,39.75,1,WARNING
84.84,25.24,1,SAFE
130.8,20.82,0,SAFE
320.46,33.53,1,WARNING
339.11,35.01,0,WARNING
165.87,21.72,0,SAFE
320.63,41.15,1,WARNING
290.3,18.52,0,SAFE
579.05,33.68,0,WARNING
875.81,67.55,1,DANGER
61.61,24.47,0,SAFE
772.13,52.74,1,DANGER
641.18,66.64,1,DANGER
56.1,22.89,0,SAFE
724.68,45.63,1,DANGER
176.81,26.55,1,SAFE
147.14,26.62,1,SAFE
269.33,27.87,0,SAFE
220.81,26.56,0,SAFE
182.41,25.28,1,SAFE
247.89,26.35,1,SAFE
219.39,22.57,0,SAFE
178.7,20.46,1,SAFE
79.38,19.42,0,SAFE
277.33,21.08,0,SAFE
209.39,22.85,0,SAFE
267.95,25.61,0,SAFE
515.62,38.59,0,WARNING
297.49,29.02,1,SAFE
195.76,21.73,0,SAFE
143.9,23.54,1,SAFE
888.15,49.77,1,DANGER
110.6,24.73,0,SAFE
335.76,42.34,1,WARNING
442.43,43.62,0,WARNING
224.01,23.85,0,SAFE
735.86,60.78,1,DANGER
711.29,49.09,1,DANGER
647.9,47.35,1,DANGER
792.97,56.53,1,DANGER
70.6,25.76,0,SAFE
247.68,27.19,0,SAFE
961.58,55.35,1,DANGER
119.66,26.5,0,SAFE
453.72,38.82,1,WARNING
556.0,42.54,0,WARNING
560.39,44.28,1,WARNING
962.23,60.38,0,DANGER
480.24,44.68,0,WARNING
885.88,77.92,1,DANGER
285.73,29.13,0,SAFE
810.98,71.05,1,DANGER
163.11,18.71,1,SAFE
337.15,34.42,1,WARNING
816.95,61.26,1,DANGER
609.76,65.83,1,DANGER
326.93,44.47,1,WARNING
150.19,24.93,0,SAFE
64.09,21.08,1,SAFE
317.54,40.08,1,WARNING
85.75,24.96,0,SAFE
995.69,58.09,0,DANGER
369.82,38.95,1,WARNING
59.83,19.69,0,SAFE
199.35,22.11,0,SAFE
671.54,71.63,1,DANGER
192.08,19.46,0,SAFE
574.95,30.85,1,WARNING
668.31,46.98,1,DANGER
134.97,26.89,1,SAFE
883.18,48.53,1,DANGER
296.1,29.81,0,SAFE
904.19,63.54,1,DANGER
106.62,27.67,0,SAFE
197.48,27.44,1,SAFE
463.71,36.83,0,WARNING
81.17,23.92,0,SAFE
984.57,70.54,0,DANGER
91.57,23.87,0,SAFE
118.35,29.78,1,SAFE
64.27,29.6,0,SAFE
318.73,43.92,0,WARNING
266.77,28.71,1,SAFE
117.17,19.39,0,SAFE
486.4,30.74,1,WARNING
299.22,22.34,0,SAFE
93.84,24.69,1,SAFE
557.17,42.51,1,WARNING
705.39,78.49,1,DANGER
435.85,42.05,1,WARNING
460.37,42.31,1,WARNING
814.63,56.02,1,DANGER
459.74,34.96,0,WARNING
64.46,25.55,0,SAFE
191.89,24.83,0,SAFE
831.15,70.98,0,DANGER
60.19,19.4,1,SAFE
472.95,33.83,1,WARNING
151.73,24.74,0,SAFE
967.95,46.83,1,DANGER
204.29,23.1,0,SAFE
295.99,20.96,0,SAFE
451.39,30.27,1,WARNING
412.45,30.26,1,WARNING
276.34,19.98,0,SAFE
368.24,37.91,0,WARNING
95.48,24.7,0,SAFE
62.99,29.32,1,SAFE
264.12,27.79,0,SAFE
515.4,43.02,1,WARNING
955.1,73.11,1,DANGER
199.21,27.53,0,SAFE
342.36,44.7,1,WARNING
415.35,35.25,1,WARNING
293.6,18.68,0,SAFE
493.72,36.53,0,WARNING
187.18,19.82,0,SAFE
728.28,74.37,0,DANGER
119.65,24.4,0,SAFE
148.27,29.96,0,SAFE
146.53,29.25,0,SAFE
295.01,18.78,1,SAFE
901.33,75.09,0,DANGER
461.51,38.28,1,WARNING
467.92,34.28,1,WARNING
66.43,19.71,1,SAFE
52.71,22.42,1,SAFE
585.62,42.64,1,WARNING
332.7,40.61,0,WARNING
292.37,26.33,1,SAFE
52.91,19.61,0,SAFE
762.65,74.91,0,DANGER
156.36,28.89,0,SAFE
266.54,24.4,0,SAFE
877.12,57.78,1,DANGER
172.16,27.24,0,SAFE
423.22,31.16,1,WARNING
162.11,26.66,0,SAFE
93.34,26.24,0,SAFE
296.21,24.09,0,SAFE
107.92,26.57,0,SAFE
244.97,24.59,0,SAFE
73.5,25.65,1,SAFE
175.66,25.49,0,SAFE
633.86,72.24,0,DANGER
848.59,51.42,1,DANGER
180.68,21.29,1,SAFE
339.22,39.93,1,WARNING
960.36,76.33,0,DANGER
553.84,37.56,0,WARNING
78.01,21.35,0,SAFE
487.63,41.43,1,WARNING
757.74,50.35,1,DANGER
800.14,45.77,1,DANGER
990.35,60.86,1,DANGER
226.69,18.45,0,SAFE
292.85,28.73,0,SAFE
276.89,18.83,0,SAFE
318.58,43.98,0,WARNING
60.22,22.75,0,SAFE
302.97,40.14,0,WARNING
104.8,20.66,0,SAFE
102.86,26.52,0,SAFE
183.15,29.72,0,SAFE
293.25,24.11,0,SAFE
452.33,40.24,0,WARNING
105.3,18.75,0,SAFE
371.72,30.91,1,WARNING
107.31,26.92,1,SAFE
336.11,41.35,1,WARNING
955.87,57.58,1,DANGER
345.52,32.27,0,WARNING
647.02,58.22,1,DANGER
290.54,24.86,0,SAFE
774.86,51.15,1,DANGER
178.17,24.24,1,SAFE
265.03,21.3,1,SAFE
899.3,60.44,1,DANGER
580.36,42.17,1,WARNING
161.48,21.19,0,SAFE
212.99,27.37,0,SAFE
258.11,29.47,0,SAFE
699.58,58.89,0,DANGER
72.8,25.44,1,SAFE
463.28,43.93,1,WARNING
370.07,32.64,1,WARNING
650.96,79.06,1,DANGER
473.95,32.27,1,WARNING
110.62,26.78,0,SAFE
85.62,23.35,0,SAFE
583.72,31.6,0,WARNING
231.43,23.85,0,SAFE
93.08,25.61,0,SAFE
609.03,79.08,1,DANGER
609.22,72.8,0,DANGER
454.55,42.64,1,WARNING
857.9,69.68,0,DANGER
296.82,18.26,0,SAFE
957.9,52.25,1,DANGER
205.52,28.53,1,SAFE
845.07,45.01,1,DANGER
96.61,23.96,0,SAFE
522.49,41.04,0,WARNING
286.15,22.43,0,SAFE
507.5,40.39,1,WARNING
665.0,52.33,1,DANGER
122.17,25.45,0,SAFE
278.87,26.25,0,SAFE
814.95,59.65,1,DANGER
285.06,28.1,1,SAFE
148.11,28.71,0,SAFE
425.22,32.16,1,WARNING
586.89,33.87,1,WARNING
74.29,24.58,1,SAFE
816.92,73.09,0,DANGER
653.68,46.43,0,DANGER
836.37,67.57,1,DANGER
302.73,40.7,1,WARNING
257.23,29.97,0,SAFE
753.27,53.99,1,DANGER
169.01,24.52,0,SAFE
819.57,66.21,0,DANGER
133.8,22.93,0,SAFE
714.1,70.59,1,DANGER
473.56,39.42,1,WARNING
52.84,25.71,0,SAFE
236.51,28.08,0,SAFE
588.22,41.35,1,WARNING
839.71,46.82,0,DANGER
224.18,28.48,0,SAFE
316.72,39.94,0,WARNING
493.66,39.84,1,WARNING
566.23,36.03,1,WARNING
520.38,44.5,0,WARNING
234.11,22.76,1,SAFE
864.76,58.41,1,DANGER
205.02,24.21,0,SAFE
995.74,53.57,0,DANGER
81.3,22.14,0,SAFE
286.53,26.75,0,SAFE
521.14,37.26,1,WARNING
101.46,20.76,0,SAFE
480.97,31.81,1,WARNING
315.05,34.46,1,WARNING
790.8,66.48,1,DANGER
114.95,20.39,0,SAFE
107.16,24.28,0,SAFE
394.66,32.36,0,WARNING
157.58,21.49,0,SAFE
557.26,40.55,1,WARNING
597.64,41.72,0,WARNING
69.64,29.94,1,SAFE
697.89,58.34,0,DANGER
895.26,75.22,1,DANGER
231.79,29.41,1,SAFE
428.9,38.65,0,WARNING
974.4,72.0,0,DANGER
768.36,78.27,1,DANGER
361.44,33.07,1,WARNING
978.43,57.4,1,DANGER
588.42,44.74,0,WARNING
71.97,29.53,1,SAFE
225.24,27.66,0,SAFE
553.16,35.14,1,WARNING
56.08,20.34,1,SAFE
377.29,41.96,0,WARNING
69.24,24.48,0,SAFE
441.49,37.68,1,WARNING
183.94,23.96,0,SAFE
121.64,18.8,1,SAFE
262.78,18.15,0,SAFE
824.46,52.69,0,DANGER
444.78,40.77,1,WARNING
58.3,29.42,0,SAFE
108.05,28.27,0,SAFE
220.82,19.44,0,SAFE
964.9,64.84,0,DANGER
68.37,26.32,0,SAFE
390.97,32.62,0,WARNING
249.85,21.43,0,SAFE
208.07,23.03,0,SAFE
266.82,23.49,1,SAFE
87.76,27.4,0,SAFE
598.3,35.24,0,WARNING
747.61,46.32,1,DANGER
212.3,22.92,0,SAFE
253.71,26.62,1,SAFE
57.49,20.01,0,SAFE
240.4,21.67,0,SAFE
466.2,44.79,0,WARNING
449.5,33.23,1,WARNING
149.46,25.71,0,SAFE
727.84,76.96,1,DANGER
359.01,33.86,0,WARNING
211.37,22.41,0,SAFE
968.92,71.14,1,DANGER
212.41,27.65,0,SAFE
907.91,56.99,1,DANGER
57.86,20.3,0,SAFE
223.99,29.61,0,SAFE
292.76,22.3,1,SAFE
911.81,55.63,0,DANGER
269.19,26.43,0,SAFE
235.68,24.93,0,SAFE
297.51,28.13,0,SAFE
204.46,26.37,0,SAFE
866.94,48.39,1,DANGER
137.3,18.82,0,SAFE
548.26,30.5,1,WARNING
733.08,68.71,1,DANGER
335.74,30.86,0,WARNING
84.38,26.34,0,SAFE
602.14,52.21,1,DANGER
172.9,22.47,1,SAFE
137.53,19.61,0,SAFE
384.99,44.3,1,WARNING
276.62,25.19,0,SAFE
779.84,51.34,1,DANGER
201.44,22.23,0,SAFE
207.35,20.23,0,SAFE
504.93,31.9,1,WARNING
117.69,28.15,0,SAFE
192.65,23.54,1,SAFE
651.28,74.84,0,DANGER
243.08,18.98,0,SAFE
500.08,31.64,1,WARNING
842.68,70.98,0,DANGER
236.9,24.99,1,SAFE
844.66,63.06,0,DANGER
691.01,74.93,1,DANGER
797.3,54.62,1,DANGER
311.81,41.74,1,WARNING
464.0,36.24,1,WARNING
88.34,25.33,0,SAFE
395.41,36.27,1,WARNING
223.16,24.17,0,SAFE
291.66,21.12,0,SAFE
163.05,18.61,0,SAFE
213.81,22.53,1,SAFE
747.75,55.15,1,DANGER
165.63,25.62,0,SAFE
61.33,20.37,0,SAFE
225.49,21.06,0,SAFE
387.41,33.18,0,WARNING
596.44,38.9,0,WARNING
81.9,20.88,0,SAFE
248.7,22.46,0,SAFE
195.15,19.45,1,SAFE
787.67,53.05,0,DANGER
714.5,72.73,1,DANGER
519.95,36.96,1,WARNING
494.62,36.89,1,WARNING
515.77,39.72,1,WARNING
198.77,19.57,0,SAFE
286.81,24.21,0,SAFE
119.22,25.38,1,SAFE
131.76,22.61,0,SAFE
372.35,40.68,0,WARNING
861.96,49.24,1,DANGER
240.26,25.47,0,SAFE
600.29,69.64,1,DANGER
798.52,66.11,1,DANGER
217.89,26.49,0,SAFE
584.31,44.65,0,WARNING
507.1,36.88,0,WARNING
179.58,23.86,0,SAFE
112.18,21.39,0,SAFE
461.47,30.27,1,WARNING
580.44,34.52,1,WARNING
90.73,28.16,0,SAFE
156.94,25.69,0,SAFE
51.27,25.44,0,SAFE
70.44,28.73,1,SAFE
310.94,30.2,1,WARNING
311.98,32.24,1,WARNING
144.95,21.48,0,SAFE
69.03,26.0,0,SAFE
975.02,56.74,1,DANGER
445.05,38.06,1,WARNING
99.0,22.93,0,SAFE
849.02,76.07,1,DANGER
259.72,28.49,0,SAFE
539.4,41.13,1,WARNING
103.24,24.15,1,SAFE
720.49,61.37,1,DANGER
207.78,25.38,0,SAFE
612.49,62.23,0,DANGER
316.42,43.67,0,WARNING
573.97,35.35,0,WARNING
174.29,27.93,0,SAFE
212.92,29.31,0,SAFE
108.4,28.87,0,SAFE
836.72,72.92,0,DANGER
231.19,19.71,1,SAFE
110.79,26.26,0,SAFE
249.7,29.37,0,SAFE
252.47,28.3,0,SAFE
64.39,27.53,1,SAFE
296.72,23.42,0,SAFE
442.53,44.19,1,WARNING
693.62,49.27,1,DANGER
609.55,50.34,0,DANGER
701.11,70.18,0,DANGER
885.33,60.87,0,DANGER
669.91,52.39,1,DANGER
550.25,36.89,1,WARNING
118.51,24.64,1,SAFE
96.13,27.64,0,SAFE
979.57,59.38,1,DANGER
293.37,26.13,0,SAFE
400.9,31.31,0,WARNING
107.5,21.54,0,SAFE
385.69,43.43,1,WARNING
423.2,34.94,1,WARNING
467.77,39.35,0,WARNING
487.01,44.48,1,WARNING
257.22,28.51,1,SAFE
248.95,28.09,1,SAFE
62.05,26.41,0,SAFE
301.94,33.71,1,WARNING
353.75,31.74,1,WARNING
622.53,67.02,1,DANGER
891.45,67.92,1,DANGER
190.23,29.35,0,SAFE
174.59,19.37,0,SAFE
111.34,25.48,0,SAFE
216.89,24.93,0,SAFE
965.74,69.43,0,DANGER
194.07,24.15,1,SAFE
480.96,40.7,0,WARNING
795.69,62.2,1,DANGER
622.55,63.54,1,DANGER
71.21,18.7,0,SAFE
287.45,18.78,1,SAFE
242.82,18.28,1,SAFE
621.43,61.0,0,DANGER
174.61,27.94,1,SAFE
292.48,29.24,0,SAFE
223.87,24.06,0,SAFE
560.86,32.94,0,WARNING
200.86,19.58,1,SAFE
157.91,19.21,0,SAFE
728.21,64.7,1,DANGER
324.47,30.46,1,WARNING
87.09,20.18,1,SAFE
515.24,35.78,1,WARNING
228.34,19.95,1,SAFE
758.51,67.44,1,DANGER
307.18,36.65,0,WARNING
665.57,64.41,1,DANGER
163.64,23.5,0,SAFE
368.09,31.06,0,WARNING
184.24,26.89,0,SAFE
939.84,61.4,1,DANGER
297.79,20.9,1,SAFE
226.56,23.98,1,SAFE
598.72,33.65,1,WARNING
812.77,61.26,1,DANGER
59.14,28.83,0,SAFE
551.73,44.93,0,WARNING
130.2,20.5,1,SAFE
131.33,28.8,1,SAFE
249.85,20.42,0,SAFE
253.23,20.38,0,SAFE
892.27,77.76,1,DANGER
96.21,25.6,0,SAFE
354.05,31.61,0,WARNING
296.92,28.6,0,SAFE
191.21,24.41,0,SAFE
191.99,23.72,1,SAFE
186.68,18.52,0,SAFE
232.72,19.35,0,SAFE
341.84,32.14,1,WARNING
707.15,78.61,0,DANGER
539.34,37.68,1,WARNING
57.31,25.89,0,SAFE
177.92,24.72,0,SAFE
68.05,27.13,0,SAFE
374.92,31.93,1,WARNING
828.96,48.35,1,DANGER
126.98,27.37,0,SAFE
246.29,21.08,0,SAFE
849.88,71.73,1,DANGER
262.31,20.87,1,SAFE
988.49,55.33,1,DANGER
249.57,26.26,1,SAFE
526.94,37.35,1,WARNING
254.46,23.25,0,SAFE
142.13,27.42,0,SAFE
393.66,34.12,1,WARNING
161.5,22.89,0,SAFE
472.7,38.9,1,WARNING
210.82,25.87,0,SAFE
